Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit
Intel® Xeon® Processor E5 v3 Family,Server,E5-2650LV3,Launched,Q3'14,22 nm,"$1,329.00 ",12,24,1.80 GHz,2.50 GHz,30 MB SmartCache,9.6 GT/s QPI,65 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,63.6°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2658V3,Launched,Q3'14,22 nm,"$1,832.00 ",12,24,2.20 GHz,2.90 GHz,30 MB SmartCache,9.6 GT/s QPI,105 W,Yes,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,86.95,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2658AV3,Launched,Q1'15,22 nm,"$1,832.00 ",12,24,2.20 GHz,2.90 GHz,30 MB SmartCache,9.6 GT/s QPI,105 W,Yes,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,91,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2660V3,Launched,Q3'14,22 nm,$1445.00 - $1449.00,10,20,2.60 GHz,3.30 GHz,25 MB SmartCache,9.6 GT/s QPI,105 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,79°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2667V3,Launched,Q3'14,22 nm,"$2,057.00 ",8,16,3.20 GHz,3.60 GHz,20 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,77.8°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2670V3,Launched,Q3'14,22 nm,$1589.00 - $1593.00,12,24,2.30 GHz,3.10 GHz,30 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,84.5°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2680V3,Launched,Q3'14,22 nm,$1745.00 - $1749.00,12,24,2.50 GHz,3.30 GHz,30 MB SmartCache,9.6 GT/s QPI,120 W,Yes,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,84.5°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2683V3,Launched,Q3'14,22 nm,"$1,846.00 ",14,28,2.00 GHz,3.00 GHz,35 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82.5°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-4610V3,Launched,Q2'15,22 nm,"$1,219.00 ",10,20,1.70 GHz,1.70 GHz,25 MB,6.4 GT/s QPI,105 W,No,Yes,768 GB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,77.6°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-4620V3,Launched,Q2'15,22 nm,"$1,668.00 ",10,20,2.00 GHz,2.60 GHz,25 MB,8 GT/s QPI,105 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,77.7°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2687WV3,Launched,Q3'14,22 nm,$2141.00 - $2145.00,10,20,3.10 GHz,3.50 GHz,25 MB SmartCache,9.6 GT/s QPI,160 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,74.7°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-4627V3,Launched,Q2'15,22 nm,"$2,225.00 ",10,10,2.60 GHz,3.20 GHz,25 MB,8 GT/s QPI,135 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,86.4°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2690V3,Launched,Q3'14,22 nm,$2090.00 - $2094.00,12,24,2.60 GHz,3.50 GHz,30 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,89.9°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-4640V3,Launched,Q2'15,22 nm,"$2,859.00 ",12,24,1.90 GHz,2.60 GHz,30 MB,8 GT/s QPI,105 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,77.6°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-1680V3,Launched,Q3'14,22 nm,"$1,723.00 ",8,16,3.20 GHz,3.80 GHz,20 MB SmartCache,0 GT/s QPI,140 W,No,Yes,768 GB,DDR4 1333/1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,66.26°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2695V3,Launched,Q3'14,22 nm,$2424.00 - $2428.00,14,28,2.30 GHz,3.30 GHz,35 MB SmartCache,9.6 GT/s QPI,120 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82.6°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-4648V3,Launched,Q2'15,22 nm,"$2,405.00 ",12,24,1.70 GHz,2.20 GHz,30 MB,8 GT/s QPI,105 W,Yes,Yes,768 GB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87°C,Yes,,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-1660V3,Launched,Q3'14,22 nm,"$1,080.00 ",8,16,3.00 GHz,3.50 GHz,20 MB SmartCache,0 GT/s QPI,140 W,No,Yes,768 GB,DDR4 1333/1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,65.9°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-4650V3,Launched,Q2'15,22 nm,"$3,838.00 ",12,24,2.10 GHz,2.80 GHz,30 MB,9.6 GT/s QPI,105 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,77.6°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-1650V3,Launched,Q3'14,22 nm,$583.00 - $586.00,6,12,3.50 GHz,3.80 GHz,15 MB SmartCache,0 GT/s QPI,140 W,No,Yes,768 GB,DDR4 1333/1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,66.7°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2697V3,Launched,Q3'14,22 nm,$2702.00 - $2706.00,14,28,2.60 GHz,3.60 GHz,35 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,76.7°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-4655V3,Launched,Q2'15,22 nm,"$4,616.00 ",6,12,2.90 GHz,3.20 GHz,30 MB,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,84.4°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2408LV3,Launched,Q1'15,22 nm,$256.00 ,4,8,1.80 GHz,,10 MB,6.4 GT/s QPI,45 W,Yes,Yes,384 GB,DDR3 800/1066/1333/1600,3,51.2 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,92,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-1630V3,Launched,Q3'14,22 nm,$372.00 ,4,8,3.70 GHz,3.80 GHz,10 MB SmartCache,0 GT/s QPI,140 W,No,Yes,768 GB,DDR4 1333/1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,66.2°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2698V3,Announced,Q3'14,22 nm,N/A,16,32,2.30 GHz,3.60 GHz,40 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,x4 x8 x16,40,87.9°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-4660V3,Launched,Q2'15,22 nm,"$4,727.00 ",14,28,2.10 GHz,2.90 GHz,35 MB,9.6 GT/s QPI,120 W,No,Yes,768 GB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82.5°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2418LV3,Launched,Q1'15,22 nm,$472.00 ,6,12,2.00 GHz,,15 MB,6.4 GT/s QPI,50 W,Yes,Yes,384 GB,DDR3 800/1066/1333/1600,3,51.2 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,93,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-1620V3,Launched,Q3'14,22 nm,$294.00 - $297.00,4,8,3.50 GHz,3.60 GHz,10 MB SmartCache,0 GT/s QPI,140 W,No,Yes,768 GB,DDR4 1333/1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,66.2°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-4667V3,Launched,Q2'15,22 nm,"$5,729.00 ",16,32,2.00 GHz,2.90 GHz,40 MB,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 ,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87.6°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2428LV3,Launched,Q1'15,22 nm,$811.00 ,8,16,1.80 GHz,,20 MB,8 GT/s QPI,55 W,Yes,Yes,384 GB,DDR3 800/1066/1333/1600,3,51.2 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,93,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-4669V3,Launched,Q2'15,22 nm,"$7,007.00 ",18,36,2.10 GHz,2.90 GHz,45 MB,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87.6°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-2438LV3,Launched,Q1'15,22 nm,"$1,555.00 ",10,20,1.80 GHz,,25 MB,8 GT/s QPI,70 W,Yes,Yes,384 GB,DDR3 800/1066/1333/1600,3,51.2 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,83,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Embedded,E5-1428LV3,Launched,Q1'15,22 nm,$608.00 ,8,16,2.00 GHz,,20 MB,0 GT/s QPI,65 W,No,Yes,384 GB,DDR3 800/1066/1333/1600,3,51.2 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,86,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v3 Family,Server,E5-2699V3,Announced,Q3'14,22 nm,N/A,18,36,2.30 GHz,3.60 GHz,45 MB SmartCache,9.6 GT/s QPI,145 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,76.4°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2690V2,Launched,Q3'13,22 nm,$2057.00 - $2061.00,10,20,3.00 GHz,3.60 GHz,25 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,88°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2680V2,Launched,Q3'13,22 nm,$1723.00 - $1727.00,10,20,2.80 GHz,3.60 GHz,25 MB SmartCache,8 GT/s QPI,115 W,Yes,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2687WV2,Launched,Q3'13,22 nm,$2108.00 - $2112.00,8,16,3.40 GHz,4.00 GHz,25 MB SmartCache,8 GT/s QPI,150 W,No,Yes,256 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,72°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2670V2,Launched,Q3'13,22 nm,$1552.00 - $1556.00,10,20,2.50 GHz,3.30 GHz,25 MB SmartCache,8 GT/s QPI,115 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,82°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2667V2,Launched,Q3'13,22 nm,"$2,057.00 ",8,16,3.30 GHz,4.00 GHz,25 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,74°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2660V2,Launched,Q3'13,22 nm,$1389.00 - $1393.00,10,20,2.20 GHz,3.00 GHz,25 MB SmartCache,8 GT/s QPI,95 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,75°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2650LV2,Launched,Q3'13,22 nm,"$1,219.00 ",10,20,1.70 GHz,2.10 GHz,25 MB SmartCache,7.2 GT/s QPI,70 W,No,Yes,768 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,65°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2658V2,Launched,Q3'13,22 nm,"$1,750.00 ",10,20,2.40 GHz,3.00 GHz,25 MB SmartCache,8 GT/s QPI,95 W,Yes,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,87°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2650V2,Launched,Q3'13,22 nm,$1166.00 - $1171.00,8,16,2.60 GHz,3.40 GHz,20 MB SmartCache,8 GT/s QPI,95 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,75°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2470V2,Launched,Q1'14,22 nm,"$1,440.00 ",10,20,2.40 GHz,3.20 GHz,25 MB SmartCache,8 GT/s QPI,95 W,No,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,80°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2648LV2,Launched,Q3'13,22 nm,"$1,479.00 ",10,20,1.90 GHz,2.50 GHz,25 MB SmartCache,8 GT/s QPI,70 W,Yes,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,92°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2450LV2,Launched,Q1'14,22 nm,"$1,219.00 ",10,20,1.70 GHz,2.10 GHz,25 MB SmartCache,7.2 GT/s QPI,60 W,No,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,68°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2643V2,Launched,Q3'13,22 nm,"$1,552.00 ",6,12,3.50 GHz,3.80 GHz,25 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,74°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2450V2,Launched,Q1'14,22 nm,"$1,107.00 ",8,16,2.50 GHz,3.30 GHz,20 MB SmartCache,8 GT/s QPI,95 W,Yes,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,80°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-4657LV2,Launched,Q1'14,22 nm,"$4,394.00 ",12,24,2.40 GHz,2.90 GHz,30 MB SmartCache,8 GT/s QPI,115 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,81°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2448LV2,Launched,Q1'14,22 nm,"$1,424.00 ",10,20,1.80 GHz,2.40 GHz,25 MB SmartCache,8 GT/s QPI,70 W,Yes,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,90.9°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2640V2,Launched,Q3'13,22 nm,$885.00 - $889.00,8,16,2.00 GHz,2.50 GHz,20 MB SmartCache,7.2 GT/s QPI,95 W,Yes,Yes,768 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,75°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2637V2,Launched,Q3'13,22 nm,$996.00 ,4,8,3.50 GHz,3.80 GHz,15 MB SmartCache,8 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,76°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-4650V2,Launched,Q1'14,22 nm,"$3,616.00 ",10,20,2.40 GHz,2.90 GHz,25 MB SmartCache,8 GT/s QPI,95 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,75°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2440V2,Launched,Q1'14,22 nm,$832.00 ,8,16,1.90 GHz,2.40 GHz,20 MB SmartCache,7.2 GT/s QPI,95 W,No,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,80°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2630LV2,Launched,Q3'13,22 nm,$612.00 ,6,12,2.40 GHz,2.80 GHz,15 MB SmartCache,7.2 GT/s QPI,60 W,No,Yes,768 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,63°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2430LV2,Launched,Q1'14,22 nm,$612.00 ,6,12,2.40 GHz,2.80 GHz,15 MB SmartCache,7.2 GT/s QPI,60 W,No,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,69°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-4640V2,Launched,Q1'14,22 nm,"$2,725.00 ",10,20,2.20 GHz,2.70 GHz,20 MB SmartCache,8 GT/s QPI,95 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,75°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2630V2,Launched,Q3'13,22 nm,$612.00 - $616.00,6,12,2.60 GHz,3.10 GHz,15 MB SmartCache,7.2 GT/s QPI,80 W,Yes,Yes,768 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,71°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2430V2,Launched,Q1'14,22 nm,$551.00 ,6,12,2.50 GHz,3.00 GHz,15 MB SmartCache,7.2 GT/s QPI,80 W,Yes,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,76°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-4627V2,Launched,Q1'14,22 nm,"$2,108.00 ",8,8,3.30 GHz,3.60 GHz,16 MB SmartCache,7.2 GT/s QPI,130 W,No,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,88°C,No,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Embedded,E5-4624LV2,Launched,Q1'14,22 nm,"$2,405.00 ",10,20,1.90 GHz,2.50 GHz,25 MB SmartCache,8 GT/s QPI,70 W,Yes,Yes,768 GB,DDR3 800/1066/1333/1600/1866,4,59.7 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,92°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2628LV2,Launched,Q3'13,22 nm,"$1,216.00 ",8,16,1.90 GHz,2.40 GHz,20 MB SmartCache,7.2 GT/s QPI,70 W,Yes,Yes,768 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,92°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Embedded,E5-2428LV2,Launched,Q1'14,22 nm,"$1,013.00 ",8,16,1.80 GHz,2.30 GHz,20 MB SmartCache,7.2 GT/s QPI,60 W,Yes,Yes,384 GB,DDR3 800/1066/1333/1600,3,38.4 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",24,89.2°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E5 v2 Family,Server,E5-2620V2,Launched,Q3'13,22 nm,$406.00 - $410.00,6,12,2.10 GHz,2.60 GHz,15 MB SmartCache,7.2 GT/s QPI,80 W,No,Yes,768 GB,DDR3 800/1066/1333/1600,4,51.2 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",40,71°C ,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
